Mip Table,Variable Name,Frequency,Dimensions,Standard Name,Long Name,Comment,Modeling Realm,Units,Positive,Cell Methods,Cell Measures
AERday,zg500,day,longitude latitude time p500,geopotential_height,Geopotential Height at 500hPa,geopotential height on the 500 hPa surface,aerosol,m,,area: time: mean,area: areacella
Amon,clt,mon,longitude latitude time,cloud_area_fraction,Total Cloud Cover Percentage,"Total cloud area fraction (reported as a percentage) for the whole atmospheric column, as seen from the surface or the top of the atmosphere. Includes both large-scale and convective cloud.",atmos,%,,area: time: mean,area: areacella
Amon,evspsbl,mon,longitude latitude time,water_evapotranspiration_flux,Evaporation Including Sublimation and Transpiration,Evaporation at surface (also known as evapotranspiration): flux of water into the atmosphere due to conversion of both liquid and solid phases to vapor (from underlying surface and vegetation),atmos,kg m-2 s-1,,area: time: mean,area: areacella
Amon,hfls,mon,longitude latitude time,surface_upward_latent_heat_flux,Surface Upward Latent Heat Flux,"The surface called 'surface' means the lower boundary of the atmosphere. 'Upward' indicates a vector component which is positive when directed upward (negative downward). The surface latent heat flux is the exchange of heat between the surface and the air on account of evaporation (including sublimation). In accordance with common usage in geophysical disciplines, 'flux' implies per unit area, called 'flux density' in physics.",atmos,W m-2,up,area: time: mean,area: areacella
Amon,hfss,mon,longitude latitude time,surface_upward_sensible_heat_flux,Surface Upward Sensible Heat Flux,"The surface sensible heat flux, also called turbulent heat flux, is the exchange of heat between the surface and the air by motion of air.",atmos,W m-2,up,area: time: mean,area: areacella
Amon,hus,mon,longitude latitude plev19 time,specific_humidity,Specific Humidity,Specific humidity is the mass fraction of water vapor in (moist) air.,atmos,1,,time: mean,area: areacella
Amon,huss,mon,longitude latitude time height2m,specific_humidity,Near-Surface Specific Humidity,"Near-surface (usually, 2 meter) specific humidity.",atmos,1,,area: time: mean,area: areacella
Amon,pr,mon,longitude latitude time,precipitation_flux,Precipitation,includes both liquid and solid phases,atmos,kg m-2 s-1,,area: time: mean,area: areacella
Amon,prsn,mon,longitude latitude time,snowfall_flux,Snowfall Flux,At surface; includes precipitation of all forms of water in the solid phase,atmos,kg m-2 s-1,,area: time: mean,area: areacella
Amon,ps,mon,longitude latitude time,surface_air_pressure,Surface Air Pressure,"surface pressure (not mean sea-level pressure), 2-D field to calculate the 3-D pressure field from hybrid coordinates",atmos,Pa,,area: time: mean,area: areacella
Amon,psl,mon,longitude latitude time,air_pressure_at_mean_sea_level,Sea Level Pressure,Sea Level Pressure,atmos,Pa,,area: time: mean,area: areacella
Amon,rlds,mon,longitude latitude time,surface_downwelling_longwave_flux_in_air,Surface Downwelling Longwave Radiation,"The surface called 'surface' means the lower boundary of the atmosphere. 'longwave' means longwave radiation. Downwelling radiation is radiation from above. It does not mean 'net downward'. When thought of as being incident on a surface, a radiative flux is sometimes called 'irradiance'. In addition, it is identical with the quantity measured by a cosine- collector light-meter and sometimes called 'vector irradiance'. In accordance with common usage in geophysical disciplines, 'flux' implies per unit area, called 'flux density' in physics.",atmos,W m-2,down,area: time: mean,area: areacella
Amon,rlus,mon,longitude latitude time,surface_upwelling_longwave_flux_in_air,Surface Upwelling Longwave Radiation,"The surface called 'surface' means the lower boundary of the atmosphere. 'longwave' means longwave radiation. Upwelling radiation is radiation from below. It does not mean 'net upward'. When thought of as being incident on a surface, a radiative flux is sometimes called 'irradiance'. In addition, it is identical with the quantity measured by a cosine- collector light-meter and sometimes called 'vector irradiance'. In accordance with common usage in geophysical disciplines, 'flux' implies per unit area, called 'flux density' in physics.",atmos,W m-2,up,area: time: mean,area: areacella
Amon,rlut,mon,longitude latitude time,toa_outgoing_longwave_flux,TOA Outgoing Longwave Radiation,at the top of the atmosphere (to be compared with satellite measurements),atmos,W m-2,up,area: time: mean,area: areacella
Amon,rlutcs,mon,longitude latitude time,toa_outgoing_longwave_flux_assuming_clear_sky,TOA Outgoing Clear-Sky Longwave Radiation,Upwelling clear-sky longwave radiation at top of atmosphere,atmos,W m-2,up,area: time: mean,area: areacella
Amon,rsds,mon,longitude latitude time,surface_downwelling_shortwave_flux_in_air,Surface Downwelling Shortwave Radiation,Surface solar irradiance for UV calculations.,atmos,W m-2,down,area: time: mean,area: areacella
Amon,rsdt,mon,longitude latitude time,toa_incoming_shortwave_flux,TOA Incident Shortwave Radiation,Shortwave radiation incident at the top of the atmosphere,atmos,W m-2,down,area: time: mean,area: areacella
Amon,rsus,mon,longitude latitude time,surface_upwelling_shortwave_flux_in_air,Surface Upwelling Shortwave Radiation,"The surface called 'surface' means the lower boundary of the atmosphere. 'shortwave' means shortwave radiation. Upwelling radiation is radiation from below. It does not mean 'net upward'. When thought of as being incident on a surface, a radiative flux is sometimes called 'irradiance'. In addition, it is identical with the quantity measured by a cosine- collector light-meter and sometimes called 'vector irradiance'. In accordance with common usage in geophysical disciplines, 'flux' implies per unit area, called 'flux density' in physics.",atmos,W m-2,up,area: time: mean,area: areacella
Amon,rsut,mon,longitude latitude time,toa_outgoing_shortwave_flux,TOA Outgoing Shortwave Radiation,at the top of the atmosphere,atmos,W m-2,up,area: time: mean,area: areacella
Amon,rsutcs,mon,longitude latitude time,toa_outgoing_shortwave_flux_assuming_clear_sky,TOA Outgoing Clear-Sky Shortwave Radiation,Calculated in the absence of clouds.,atmos,W m-2,up,area: time: mean,area: areacella
Amon,sfcWind,mon,longitude latitude time height10m,wind_speed,Near-Surface Wind Speed,"near-surface (usually, 10 meters) wind speed.",atmos,m s-1,,area: time: mean,area: areacella
Amon,ta,mon,longitude latitude plev19 time,air_temperature,Air Temperature,Air Temperature,atmos,K,,time: mean,area: areacella
Amon,tas,mon,longitude latitude time height2m,air_temperature,Near-Surface Air Temperature,"near-surface (usually, 2 meter) air temperature",atmos,K,,area: time: mean,area: areacella
Amon,tauu,mon,longitude latitude time,surface_downward_eastward_stress,Surface Downward Eastward Wind Stress,Downward eastward wind stress at the surface,atmos,Pa,down,area: time: mean,area: areacella
Amon,tauv,mon,longitude latitude time,surface_downward_northward_stress,Surface Downward Northward Wind Stress,Downward northward wind stress at the surface,atmos,Pa,down,area: time: mean,area: areacella
Amon,ts,mon,longitude latitude time,surface_temperature,Surface Temperature,Temperature of the lower boundary of the atmosphere,atmos,K,,area: time: mean,area: areacella
Amon,ua,mon,longitude latitude plev19 time,eastward_wind,Eastward Wind,Zonal wind (positive in a eastward direction).,atmos,m s-1,,time: mean,area: areacella
Amon,uas,mon,longitude latitude time height10m,eastward_wind,Eastward Near-Surface Wind,"Eastward component of the near-surface (usually, 10 meters) wind",atmos,m s-1,,area: time: mean,area: areacella
Amon,va,mon,longitude latitude plev19 time,northward_wind,Northward Wind,Meridional wind (positive in a northward direction).,atmos,m s-1,,time: mean,area: areacella
